# lidar_stamp x y z roll pitch yaw
1577858776478876 0.132817 0.001587 0.000791 3.141591 -3.141227 3.140853 
1577858776578566 0.480936 0.001237 0.000737 -3.141411 -3.141179 3.138693 
1577858776678773 0.823392 0.001145 0.002558 3.141578 -3.141535 3.136416 
1577858776778384 1.131007 -0.004713 0.002453 -3.141424 -3.141008 3.134073 
1577858776878485 1.484119 -0.005545 0.003276 -3.141432 -3.140713 3.131263 
1577858776979167 1.821164 -0.012369 0.004163 -3.141439 -3.140492 3.128499 
1577858777078838 2.119514 -0.013438 0.005018 3.140975 -3.140076 3.125502 
1577858777178500 2.470279 -0.018279 0.005879 3.140777 -3.140614 3.122426 
1577858777278699 2.791394 -0.031933 0.006839 3.140959 -3.140770 3.119358 
1577858777378322 3.102873 -0.028528 0.006644 3.140951 -3.140926 3.116297 
1577858777478450 3.433132 -0.044778 0.006624 3.140943 -3.140892 3.113268 
1577858777578911 3.746199 -0.043643 0.006450 3.140746 -3.140667 3.110251 
1577858777678758 4.065369 -0.065540 0.007336 3.141119 -3.140796 3.107364 
1577858777778393 4.354670 -0.083988 0.006726 3.140920 -3.140788 3.104167 
1577858777878649 4.693989 -0.091189 0.007235 3.140723 -3.141134 3.101041 
1577858777978281 5.020032 -0.112292 0.007428 3.140141 -3.140901 3.097224 
1577858778078390 5.309517 -0.124609 0.007392 3.139799 -3.140334 3.093620 
1577858778178841 5.642258 -0.138757 0.008351 3.140122 -3.139472 3.089068 
1577858778278790 5.949225 -0.156071 0.009353 3.139921 -3.139037 3.084399 
1577858778378332 6.237855 -0.171312 0.010345 3.139185 -3.138831 3.079835 
1577858778478574 6.552813 -0.199165 0.011442 3.138564 -3.138544 3.074670 
1577858778578275 6.851720 -0.216086 0.012444 3.138744 -3.138103 3.069372 
1577858778678266 7.150338 -0.246262 0.013572 3.138168 -3.137848 3.063817 
1577858778778587 7.438502 -0.251794 0.015473 3.137577 -3.137971 3.057891 
1577858778878666 7.740947 -0.299454 0.016764 3.136804 -3.137906 3.052195 
1577858778978315 8.044273 -0.320404 0.018801 3.136793 -3.138424 3.045925 
1577858779077922 8.317702 -0.356842 0.020001 3.136973 -3.139434 3.040396 
1577858779178150 8.619506 -0.388234 0.022138 3.137725 -3.140173 3.033625 
1577858779278289 8.903632 -0.422006 0.023306 3.138287 -3.140729 3.027064 
1577858779378532 9.158914 -0.447329 0.023411 3.138469 -3.141460 3.021175 
1577858779478746 9.423284 -0.484261 0.023620 3.139032 3.140941 3.014668 
1577858779578261 9.698620 -0.523064 0.023840 3.139403 3.140069 3.007614 
1577858779677866 9.950705 -0.553333 0.022994 3.139394 3.138818 3.000361 
1577858779778084 10.199603 -0.597656 0.022280 3.138748 3.137767 2.992232 
1577858779879653 10.444713 -0.632215 0.021476 3.137658 3.137120 2.983456 
1577858779978470 10.664454 -0.670497 0.020722 3.137648 3.137031 2.973369 
1577858780078572 10.921595 -0.717001 0.020024 3.140262 3.136772 2.962754 
1577858780178147 11.172992 -0.764467 0.018338 -3.138265 3.136515 2.952077 
1577858780278468 11.397308 -0.808197 0.017906 -3.135832 3.136255 2.941581 
1577858780378095 11.647346 -0.864204 0.017028 -3.136801 3.136201 2.929804 
1577858780478158 11.881792 -0.911850 0.015354 -3.140079 3.137677 2.917647 
1577858780578456 12.102500 -0.968479 0.014770 3.139999 3.138775 2.905239 
1577858780679188 12.347249 -1.031400 0.014234 3.137610 3.139704 2.890898 
1577858780778345 12.565995 -1.093723 0.014040 3.135323 3.141453 2.877160 
1577858780878366 12.799268 -1.159099 0.014199 3.132615 -3.139135 2.861684 
1577858780978229 13.011970 -1.217932 0.014641 3.130826 -3.137231 2.845471 
1577858781078457 13.241909 -1.294841 0.016244 3.130797 -3.137240 2.829906 
1577858781177802 13.451001 -1.365627 0.016801 3.132062 -3.137256 2.814815 
1577858781281090 13.685597 -1.446028 0.018434 3.134609 -3.136303 2.798430 
1577858781379532 13.887217 -1.523309 0.019542 3.135679 -3.135465 2.783409 
1577858781478309 14.109574 -1.611737 0.021667 3.133735 -3.134608 2.767217 
1577858781583714 14.333180 -1.712728 0.023153 3.132662 -3.134801 2.750832 
1577858781678006 14.543207 -1.800189 0.025318 3.130618 -3.135649 2.734820 
1577858781778401 14.736020 -1.890758 0.026872 3.128854 -3.136547 2.720045 
1577858781878368 14.954696 -1.995477 0.027939 3.125749 -3.136552 2.703862 
1577858781977980 15.155171 -2.093356 0.028755 3.123288 -3.137581 2.687666 
1577858782077836 15.337913 -2.187846 0.029549 3.122499 -3.139068 2.673521 
1577858782177875 15.534025 -2.284401 0.029355 3.121941 -3.139078 2.657485 
1577858782277946 15.736950 -2.398802 0.030325 3.122822 -3.137655 2.642717 
1577858782378283 15.925418 -2.506809 0.031746 3.123421 -3.135506 2.628318 
1577858782478485 16.129332 -2.631375 0.033307 3.123759 -3.133220 2.611464 
1577858782577960 16.308646 -2.737115 0.036012 3.123424 -3.131191 2.597185 
1577858782678212 16.476109 -2.838690 0.038077 3.123096 -3.129838 2.581812 
1577858782778007 16.674628 -2.969240 0.040202 3.124207 -3.128391 2.567931 
1577858782878921 16.857965 -3.090543 0.043247 3.126115 -3.126658 2.552862 
1577858782978181 17.032097 -3.222023 0.045815 3.128107 -3.127464 2.539306 
1577858783078400 17.187773 -3.332255 0.049349 3.129603 -3.129214 2.526998 
1577858783177881 17.353894 -3.451372 0.051383 3.128326 -3.130042 2.513135 
1577858783277473 17.508446 -3.561631 0.053339 3.126167 -3.129758 2.500873 
1577858783377778 17.645664 -3.675359 0.055338 3.122906 -3.129388 2.487733 
1577858783477835 17.808773 -3.808696 0.057506 3.121823 -3.129631 2.474761 
1577858783578145 17.941459 -3.917367 0.059085 3.121496 -3.130461 2.463035 
1577858783678371 18.103382 -4.045001 0.060577 3.121753 -3.131838 2.449693 
1577858783777914 18.243468 -4.168659 0.061666 3.122390 -3.133429 2.436841 
1577858783877826 18.379285 -4.287345 0.062712 3.122454 -3.135209 2.424490 
1577858783977847 18.524412 -4.417851 0.063865 3.121756 -3.137380 2.412364 
1577858784077805 18.652070 -4.535107 0.064901 3.122770 -3.138881 2.401341 
1577858784178088 18.791692 -4.667622 0.065075 3.125702 -3.139803 2.388770 
1577858784278285 18.935609 -4.796602 0.065213 3.130009 -3.140262 2.377693 
1577858784378793 19.062279 -4.927439 0.065378 3.132441 -3.140339 2.366509 
1577858784478641 19.191895 -5.068264 0.065635 3.132181 -3.140602 2.354600 
1577858784577665 19.314519 -5.188128 0.065699 3.129733 -3.140305 2.343960 
1577858784677819 19.450046 -5.342303 0.065079 3.128508 -3.139471 2.333110 
1577858784778566 19.595519 -5.491188 0.064404 3.128774 -3.137791 2.321007 
1577858784878071 19.732840 -5.647643 0.063804 3.128853 -3.136088 2.308681 
1577858784981279 19.881782 -5.818841 0.064337 3.127440 -3.134509 2.295385 
1577858785077312 20.030318 -5.989513 0.065865 3.125253 -3.133053 2.282472 
1577858785177656 20.186881 -6.188286 0.068654 3.123391 -3.131744 2.267433 
1577858785277787 20.361974 -6.392657 0.072486 3.123318 -3.131024 2.251685 
1577858785377984 20.543762 -6.623467 0.074562 3.125264 -3.131255 2.235379 
1577858785478035 20.710368 -6.852922 0.076634 3.127706 -3.131488 2.219140 
1577858785578261 20.908199 -7.122018 0.079320 3.129218 -3.130699 2.200502 
1577858785677397 21.107199 -7.392593 0.082631 3.128763 -3.128674 2.181661 
1577858785777539 21.286642 -7.666799 0.086991 3.127681 -3.126482 2.162049 
1577858785877589 21.494555 -7.991182 0.091935 3.127002 -3.124898 2.141287 
1577858785977919 21.693588 -8.314469 0.097873 3.126599 -3.123948 2.120011 
1577858786078033 21.904159 -8.657652 0.104128 3.126406 -3.123761 2.097123 
1577858786177601 22.103293 -9.015545 0.111256 3.126327 -3.124147 2.073928 
1577858786277213 22.281284 -9.360708 0.117064 3.125326 -3.123977 2.052302 
1577858786377412 22.480396 -9.763077 0.123109 3.126234 -3.123793 2.028197 
1577858786477540 22.664040 -10.153203 0.130550 3.126646 -3.124941 2.005988 
1577858786577855 22.848547 -10.557650 0.138640 3.126830 -3.127709 1.983203 
1577858786677928 23.012057 -10.944502 0.143934 3.125952 -3.129920 1.961903 
1577858786777527 23.174873 -11.362957 0.145786 3.124933 -3.130027 1.939496 
1577858786877300 23.317184 -11.753008 0.149383 3.124234 -3.128265 1.919023 
1577858786977416 23.470102 -12.187935 0.154395 3.124591 -3.126509 1.897214 
1577858787077481 23.599031 -12.596057 0.160091 3.125928 -3.125066 1.877507 
1577858787177823 23.726464 -13.035134 0.166553 3.126321 -3.122960 1.857176 
1577858787277846 23.852181 -13.448893 0.173814 3.125231 -3.120712 1.837460 
1577858787377504 23.960870 -13.920034 0.182536 3.123868 -3.119757 1.816810 
1577858787478382 24.076334 -14.393337 0.191833 3.122941 -3.120799 1.795628 
1577858787577582 24.169655 -14.862142 0.198917 3.123020 -3.122788 1.774723 
1577858787677478 24.260621 -15.360908 0.205843 3.123390 -3.124555 1.752563 
1577858787777802 24.346199 -15.865367 0.211908 3.123615 -3.125218 1.731379 
1577858787877806 24.418711 -16.352508 0.218092 3.124924 -3.124407 1.712543 
1577858787977425 24.451945 -16.855818 0.224811 3.125926 -3.123145 1.693846 
